vin_1_10,county,state,model_year,make,ev_type,electric_range
1G1RA6E45C,BENTON,WA,2012,CHEVROLET,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),35
1G1RA6E44C,CLALLAM,WA,2012,CHEVROLET,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),35
1G1RE6E41C,KING,WA,2012,CHEVROLET,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),35
1G1RH6E4XC,SNOHOMISH,WA,2012,CHEVROLET,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),35
1G1RD6E41C,BENTON,WA,2012,CHEVROLET,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),35
1G1RA6E4XC,ISLAND,WA,2012,CHEVROLET,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),35
1G1RD6E42C,CLALLAM,WA,2012,CHEVROLET,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),35
1G1RE6E48C,CLARK,WA,2012,CHEVROLET,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),35
1G1RA6E43C,BENTON,WA,2012,CHEVROLET,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),35
1G1RD6E48C,CLARK,WA,2012,CHEVROLET,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),35
1G1RE6E45C,ISLAND,WA,2012,CHEVROLET,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),35
1G1RD6E49C,BENTON,WA,2012,CHEVROLET,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),35
1G1RB6E40C,BENTON,WA,2012,CHEVROLET,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),35
1G1RC6E44C,SNOHOMISH,WA,2012,CHEVROLET,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),35
1G1RB6E45C,CLARK,WA,2012,CHEVROLET,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),35
1G1RA6E40C,DOUGLAS,WA,2012,CHEVROLET,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),35
1G1RB6E41C,CLARK,WA,2012,CHEVROLET,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),35
1G1RC6E43C,BENTON,WA,2012,CHEVROLET,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),35
1G1RC6E4XC,KITTITAS,WA,2012,CHEVROLET,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),35
1G1RA6E41C,KING,WA,2012,CHEVROLET,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),35
1G1RD6E45C,BENTON,WA,2012,CHEVROLET,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),35
1G1RH6E48C,PIERCE,WA,2012,CHEVROLET,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),35
1G1RA6E49C,KING,WA,2012,CHEVROLET,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),35
1G1RC6E45C,KING,WA,2012,CHEVROLET,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),35
1G1RA6E47C,CLARK,WA,2012,CHEVROLET,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),35
1G1RD6E40C,CLALLAM,WA,2012,CHEVROLET,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),35
1G1RG6E49C,GRAYS HARBOR,WA,2012,CHEVROLET,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),35
1G1RD6E43C,CLARK,WA,2012,CHEVROLET,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),35
1G1RF6E49C,GRAYS HARBOR,WA,2012,CHEVROLET,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),35
1G1RG6E44C,KING,WA,2012,CHEVROLET,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),35
1G1RD6E44C,CLARK,WA,2012,CHEVROLET,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),35
1G1RC6E41C,SAN JUAN,WA,2012,CHEVROLET,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),35
JA3215H11C,ISLAND,WA,2012,MITSUBISHI,BATTERY ELECTRIC VEHICLE (BEV),62
JA3215H18C,KING,WA,2012,MITSUBISHI,BATTERY ELECTRIC VEHICLE (BEV),62
JA3215H19C,KING,WA,2012,MITSUBISHI,BATTERY ELECTRIC VEHICLE (BEV),62
JA3215H16C,CLALLAM,WA,2012,MITSUBISHI,BATTERY ELECTRIC VEHICLE (BEV),62
JA3215H13C,PIERCE,WA,2012,MITSUBISHI,BATTERY ELECTRIC VEHICLE (BEV),62
JA3215H1XC,BENTON,WA,2012,MITSUBISHI,BATTERY ELECTRIC VEHICLE (BEV),62
JA3215H15C,KING,WA,2012,MITSUBISHI,BATTERY ELECTRIC VEHICLE (BEV),62
JA3215H17C,ISLAND,WA,2012,MITSUBISHI,BATTERY ELECTRIC VEHICLE (BEV),62
JA3215H10C,PIERCE,WA,2012,MITSUBISHI,BATTERY ELECTRIC VEHICLE (BEV),62
JN1AZ0CP7C,CLALLAM,WA,2012,NISSAN,BATTERY ELECTRIC VEHICLE (BEV),73
JN1AZ0CP5C,BENTON,WA,2012,NISSAN,BATTERY ELECTRIC VEHICLE (BEV),73
